shopping_mall,construction_year,area_sqm,location,store_count
South Coast Plaza,1967,250000,Costa Mesa,270
Westfield Valley Fair,1986,220000,Santa Clara,230
The Grove,2002,56000,Los Angeles,140
Westfield Century City,1964,133000,Los Angeles,200
Beverly Center,1982,111000,Los Angeles,160
Fashion Valley,1977,161000,San Diego,180
Stanford Shopping Center,1956,120000,Palo Alto,140
Glendale Galleria,1976,145000,Glendale,190
Irvine Spectrum Center,1995,120000,Irvine,130
Del Amo Fashion Center,1961,232000,Torrance,220
